INFO 2024-03-02 23:44:59,851 Watching for file changes with StatReloader
WARNING 2024-03-02 23:45:02,561 Not Found: /
WARNING 2024-03-02 23:45:02,562 "GET / HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:02,629 Not Found: /favicon.ico
WARNING 2024-03-02 23:45:02,630 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2024-03-02 23:45:14,887 "GET /admin HTTP/1.1" 301 0
INFO 2024-03-02 23:45:14,905 "GET /admin/ HTTP/1.1" 302 0
INFO 2024-03-02 23:45:14,941 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
WARNING 2024-03-02 23:45:14,979 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:45:14,980 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:14,981 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:45:14,983 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:45:14,984 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:45:14,984 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:14,986 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:45:14,987 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:45:14,987 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:14,987 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:14,989 Not Found: /static/admin/css/login.css
WARNING 2024-03-02 23:45:14,989 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:14,989 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:14,990 "GET /static/admin/css/login.css HTTP/1.1" 404 179
INFO 2024-03-02 23:45:33,205 "GET /admin/ HTTP/1.1" 302 0
INFO 2024-03-02 23:45:33,211 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
WARNING 2024-03-02 23:45:33,237 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:45:33,238 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:45:33,238 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:45:33,239 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:45:33,239 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:45:33,241 Not Found: /static/admin/css/login.css
WARNING 2024-03-02 23:45:33,242 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:33,242 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:33,242 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:33,242 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:33,243 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:45:33,243 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:33,243 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:45:33,244 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2024-03-02 23:45:49,577 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2024-03-02 23:45:49,590 "GET /admin/ HTTP/1.1" 200 7052
WARNING 2024-03-02 23:45:49,626 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:45:49,626 Not Found: /static/admin/css/dark_mode.css
